,category,sub,phase,high_level,mid_level,fine_level
177,Rclosednaturalcave,3,R,closed,natural,cave
178,Rclosednaturalforestccanopy,3,R,closed,natural,forestccanopy
179,Rclosednaturalicecave,3,R,closed,natural,icecave
180,Ropenmanmadecity,3,R,open,manmade,city
181,Ropenmanmadefarmhouse,3,R,open,manmade,farmhouse
182,Ropenmanmadesuburbs,3,R,open,manmade,suburbs
183,Ropennaturalgarden,3,R,open,natural,garden
184,Ropennaturallake,3,R,open,natural,lake
185,Ropennaturalmountains,3,R,open,natural,mountains
186,Rsmallnottoolbowl,3,R,small,nottool,bowl
187,Rsmallnottoolcupcake,3,R,small,nottool,cupcake
188,Rsmallnottoolflowers,3,R,small,nottool,flowers
189,Rsmalltooldrill,3,R,small,tool,drill
190,Rsmalltoolhairbrush,3,R,small,tool,hairbrush
191,Rsmalltoolwateringcan,3,R,small,tool,wateringcan
192,Dbignottoolchair,3,D,big,nottool,chair
193,Dbignottoollamppost,3,D,big,nottool,lamppost
194,Dbignottooltv,3,D,big,nottool,tv
195,Dbigtoolguitar,3,D,big,tool,guitar
196,Dbigtoolleafblower,3,D,big,tool,leafblower
197,Dbigtoolumbrella,3,D,big,tool,umbrella
198,Dclosedmanmadebathroom,3,D,closed,manmade,bathroom
199,Dclosedmanmadeconferencehall,3,D,closed,manmade,conferencehall
200,Dclosedmanmadelivingroom,3,D,closed,manmade,livingroom
201,Dclosednaturalcave,3,D,closed,natural,cave
202,Dclosednaturalforestccanopy,3,D,closed,natural,forestccanopy
203,Dclosednaturalicecave,3,D,closed,natural,icecave
204,Dopenmanmadecity,3,D,open,manmade,city
205,Dopenmanmadefarmhouse,3,D,open,manmade,farmhouse
206,Dopenmanmadesuburbs,3,D,open,manmade,suburbs
207,Dopennaturalgarden,3,D,open,natural,garden
208,Dopennaturallake,3,D,open,natural,lake
209,Dopennaturalmountains,3,D,open,natural,mountains
210,Dsmallnottoolbowl,3,D,small,nottool,bowl
211,Dsmallnottoolcupcake,3,D,small,nottool,cupcake
212,Dsmallnottoolflowers,3,D,small,nottool,flowers
213,Dsmalltooldrill,3,D,small,tool,drill
214,Dsmalltoolhairbrush,3,D,small,tool,hairbrush
215,Dsmalltoolwateringcan,3,D,small,tool,wateringcan
216,Ebignottoolchair,4,E,big,nottool,chair
217,Ebignottoollamppost,4,E,big,nottool,lamppost
218,Ebignottooltv,4,E,big,nottool,tv
219,Ebigtoolguitar,4,E,big,tool,guitar
220,Ebigtoolleafblower,4,E,big,tool,leafblower
221,Ebigtoolumbrella,4,E,big,tool,umbrella
222,Eclosedmanmadebathroom,4,E,closed,manmade,bathroom
223,Eclosedmanmadeconferencehall,4,E,closed,manmade,conferencehall
224,Eclosedmanmadelivingroom,4,E,closed,manmade,livingroom
225,Eclosednaturalcave,4,E,closed,natural,cave
226,Eclosednaturalforestccanopy,4,E,closed,natural,forestccanopy
227,Eclosednaturalicecave,4,E,closed,natural,icecave
228,Eopenmanmadecity,4,E,open,manmade,city
229,Eopenmanmadefarmhouse,4,E,open,manmade,farmhouse
230,Eopenmanmadesuburbs,4,E,open,manmade,suburbs
231,Eopennaturalgarden,4,E,open,natural,garden
232,Eopennaturallake,4,E,open,natural,lake
233,Eopennaturalmountains,4,E,open,natural,mountains
234,Esmallnottoolbowl,4,E,small,nottool,bowl
235,Esmallnottoolcupcake,4,E,small,nottool,cupcake
236,Esmallnottoolflowers,4,E,small,nottool,flowers
