,roi,phase,sub,corr,shuff_corr,roi_group
119,PPA,R,10,0.11706225653172758,0.050138645281888106,scene
120,PPA,R,11,0.11547209657396441,0.04685414306302707,scene
121,PPA,R,12,0.1634114810005565,0.049859762275081695,scene
122,PPA,R,13,0.013861674348254163,0.048049554087413134,scene
123,PPA,R,14,0.08139952340862716,0.05094843966267606,scene
124,PPA,R,15,0.0882466272743575,0.04981448712191607,scene
125,PPA,R,16,0.024884635604275784,0.04949654393582428,scene
126,PPA,R,17,0.07694924444571283,0.0488225681711163,scene
127,PPA,R,18,0.09082461722863544,0.047438324224825565,scene
128,PPA,R,19,0.09584281046217948,0.04853238966338951,scene
129,PPA,R,20,0.04833949287253322,0.04858855895321129,scene
130,PPA,R,21,0.14312695309713047,0.057741345015054006,scene
131,PPA,R,22,0.0424503075013199,0.052155608510152544,scene
132,RSC,E,1,0.028396401042755034,0.04792494564661632,scene
133,RSC,E,2,0.0932366832665059,0.05023937443815015,scene
134,RSC,E,3,0.11986069366919518,0.06166781165020753,scene
135,RSC,E,4,0.06392774075712392,0.05348253592271801,scene
136,RSC,E,5,0.11465989355174727,0.05237357914413322,scene
137,RSC,E,6,,,scene
138,RSC,E,7,,,scene
139,RSC,E,8,0.19004808721336738,0.05301302207445671,scene
140,RSC,E,9,0.2422693740100741,0.045957021161227726,scene
141,RSC,E,10,0.13513848261297642,0.042805467958505164,scene
142,RSC,E,11,0.32281788216492346,0.043818701217163004,scene
143,RSC,E,12,0.03824032191321471,0.04174956407585508,scene
144,RSC,E,13,0.18607439962329306,0.05125641472010959,scene
145,RSC,E,14,0.07567186541287939,0.04327233915041167,scene
146,RSC,E,15,0.09589389271005155,0.0489849588959483,scene
147,RSC,E,16,0.08417804084970501,0.053096098054868666,scene
148,RSC,E,17,0.10908463064168607,0.048602417202950866,scene
149,RSC,E,18,0.02735406172857123,0.046034343117250034,scene
150,RSC,E,19,0.20269003010801787,0.056317546838658125,scene
151,RSC,E,20,0.2124039325922861,0.04753541758821935,scene
152,RSC,E,21,0.36754840827042995,0.041663766213381664,scene
153,RSC,E,22,0.5811783507655428,0.046968490746421995,scene
154,RSC,R,1,0.004041490861073195,0.053926374321786846,scene
155,RSC,R,2,0.10837916125626063,0.05038221486565546,scene
156,RSC,R,3,0.08564476885644769,0.06852535661466534,scene
157,RSC,R,4,0.0742614974101397,0.041842114125083846,scene
158,RSC,R,5,0.043412051768667685,0.04743114966966795,scene
159,RSC,R,6,,,scene
160,RSC,R,7,,,scene
161,RSC,R,8,0.026012756667285,0.04872074314008075,scene
162,RSC,R,9,0.03855310283814444,0.04986502475706682,scene
163,RSC,R,10,0.006550134843966269,0.050357860190351184,scene
164,RSC,R,11,0.06416289721893238,0.05033234114810006,scene
165,RSC,R,12,0.21265449979309656,0.04590941910075484,scene
166,RSC,R,13,0.08592742683466277,0.051440778527703665,scene
167,RSC,R,14,0.03201609566073543,0.04710896248626589,scene
168,RSC,R,15,0.018989227137121693,0.049745980369054664,scene
169,RSC,R,16,0.014264296423216962,0.0471341342315855,scene
170,RSC,R,17,0.11014169318360185,0.05066144604100969,scene
171,RSC,R,18,0.11986358642142664,0.0500132418201795,scene
172,RSC,R,19,0.18045632910489293,0.048796512606840654,scene
173,RSC,R,20,0.08886231646237924,0.0447756339093335,scene
174,RSC,R,21,0.11270215893038057,0.04597061685763618,scene
175,RSC,R,22,0.0997736904439149,0.04744948844908035,scene
176,OPA,E,1,0.023702817780188543,0.050046958063048444,scene
177,OPA,E,2,0.01749175953539476,0.055278172400507995,scene
178,OPA,E,3,0.11778541100138352,0.07494494537474358,scene
179,OPA,E,4,,,scene
180,OPA,E,5,0.03737617899287967,0.04175769752143948,scene
181,OPA,E,6,,,scene
182,OPA,E,7,0.258943793610251,0.05232831723291619,scene
